Image,Method,Time(sec),RMS,NRMS,GRR,C2G-SSIM,CCPR,CCFR,E-Score
Image27.jpg,corrc2g,0.1287,58.3612,0.5937,0.2934,0.9012,0.876,0.8583,0.867
Image27.jpg,color2gray,6.9295,57.8385,0.5505,0.3083,0.7919,0.9111,0.8446,0.8766
Image28.jpg,average,0.0216,62.2572,0.2884,0.326,0.9894,0.9191,0.8125,0.8625
Image28.jpg,luminance,0.019,63.0947,0.2956,0.3303,0.9956,0.9265,0.81,0.8643
Image28.jpg,cielab,0.257,66.6457,0.3299,0.3397,0.9554,0.9333,0.8052,0.8646
Image28.jpg,decolorize,0.4182,72.2732,0.4332,0.3198,0.9242,0.9329,0.8099,0.867
Image28.jpg,corrc2g,0.1277,66.6486,0.3594,0.3283,0.9591,0.9268,0.8062,0.8623
Image28.jpg,color2gray,5.676,70.6601,0.4149,0.3366,0.7625,0.9498,0.7947,0.8654
Image29.jpg,average,0.0262,74.2861,0.1559,0.3204,0.9948,0.9393,0.8931,0.9156
Image29.jpg,luminance,0.0259,74.5002,0.1576,0.3257,0.9976,0.9384,0.8926,0.9149
Image29.jpg,cielab,0.3352,69.7724,0.1748,0.3084,0.9846,0.9454,0.897,0.9206
Image29.jpg,decolorize,0.5743,83.8,0.1537,0.3367,0.9481,0.9394,0.8973,0.9179
Image29.jpg,corrc2g,0.1958,72.6287,0.1647,0.3188,0.9935,0.9406,0.8933,0.9163
Image29.jpg,color2gray,11.4095,67.0135,0.2604,0.3027,0.9003,0.9458,0.8932,0.9187
Image30.jpg,average,0.02,57.9633,0.1314,0.3168,0.9927,0.9154,0.8735,0.8939
Image30.jpg,luminance,0.0179,56.4945,0.1321,0.3221,0.9985,0.913,0.8736,0.8929
Image30.jpg,cielab,0.24,52.4341,0.1412,0.3012,0.9936,0.9139,0.8815,0.8974
Image30.jpg,decolorize,0.3539,68.5421,0.1499,0.325,0.9557,0.9366,0.8703,0.9022
Image30.jpg,corrc2g,0.1205,63.5057,0.135,0.333,0.9829,0.9198,0.8699,0.8942
Image30.jpg,color2gray,6.4276,47.0851,0.1975,0.2976,0.8987,0.8901,0.8744,0.8822
